node_id	parent_id	mutations
ROOT	ROOT	
1	ROOT	mut0,mut1,mut2,mut3,mut5,mut6,mut7,mut8,mut9,mut10,mut12,mut13,mut14,mut15,mut16,mut17,mut19,mut20,mut21,mut22,mut23,mut24,mut26,mut29,mut31,mut32,mut33,mut34,mut35,mut36,mut37,mut38,mut40,mut41,mut42,mut43,mut44,mut45,mut46,mut48,mut50,mut51,mut52,mut53,mut55,mut56,mut57,mut59,mut60,mut62,mut63,mut64,mut65,mut66,mut67,mut68,mut70,mut71,mut72,mut73,mut74,mut75,mut76,mut77,mut78,mut79,mut80,mut83,mut84,mut85,mut86,mut87,mut88,mut89,mut90,mut91,mut92,mut93,mut94,mut95,mut96,mut97,mut98,mut99,mut100,mut101,mut102,mut103,mut105,mut106,mut107,mut108,mut109,mut111,mut112,mut113,mut115,mut117,mut118,mut121,mut123,mut124,mut125,mut126,mut127,mut128,mut129,mut131,mut132,mut133,mut134,mut135,mut137,mut138,mut139,mut140,mut145,mut146,mut147,mut148,mut149,mut150,mut151,mut152,mut153,mut154,mut155,mut156,mut157,mut158,mut159,mut160,mut162,mut163,mut164,mut165,mut166,mut167,mut168,mut169,mut170,mut172,mut173,mut174,mut175,mut176,mut177,mut178,mut180,mut181,mut182,mut183,mut185,mut186,mut187,mut188,mut189,mut191,mut192,mut194,mut196,mut197,mut198,mut199,mut201,mut203,mut204,mut205,mut206,mut207,mut208,mut209,mut210,mut211,mut213,mut214,mut216,mut218,mut219,mut220,mut221,mut222,mut223,mut224,mut225,mut226,mut228,mut231,mut232,mut234,mut235,mut237,mut238,mut239,mut240,mut242,mut244,mut245,mut246,mut247,mut248,mut249,mut250,mut251,mut252,mut253,mut254,mut255,mut256,mut257,mut258,mut259,mut260,mut261,mut262,mut263,mut264,mut265,mut266,mut267,mut272,mut274,mut276,mut277,mut279,mut280,mut281,mut282,mut283,mut284,mut285,mut287,mut288,mut290,mut291,mut292,mut293,mut294,mut295,mut296,mut297,mut298,mut300,mut301,mut302,mut304,mut306,mut308,mut309,mut310,mut311,mut313,mut314,mut315,mut316,mut317,mut318,mut319,mut320,mut321,mut322,mut324,mut325,mut326,mut327,mut328,mut329,mut330,mut331,mut332,mut333,mut335,mut336,mut337,mut338,mut339,mut340,mut341,mut344,mut345,mut346,mut348,mut349,mut351,mut353,mut354,mut355,mut356,mut359,mut360,mut362,mut364,mut365,mut366,mut367,mut368,mut370,mut371,mut372,mut373,mut374,mut375,mut376,mut377,mut378,mut379,mut380,mut381,mut383,mut384,mut385,mut387,mut388,mut389,mut391,mut392,mut395,mut396,mut398,mut399,mut400,mut401,mut402,mut403,mut404,mut409,mut410,mut411,mut412,mut414,mut415,mut416,mut417,mut419,mut420,mut421,mut425,mut426,mut427,mut428,mut429,mut430,mut431,mut432,mut433,mut436,mut437,mut438,mut439,mut440,mut441,mut442,mut444,mut445,mut446,mut447,mut449,mut450,mut451,mut452,mut453,mut455,mut456,mut457,mut458,mut459,mut460,mut461,mut463,mut464,mut465,mut468,mut469,mut470,mut471,mut472,mut473,mut474,mut475,mut476,mut477,mut478,mut479,mut482,mut483,mut484,mut485,mut486,mut487,mut488,mut489,mut491,mut492,mut493,mut494,mut495,mut496,mut497,mut498,mut499,mut502,mut503,mut504,mut505,mut506,mut507,mut508,mut509,mut511,mut512,mut513,mut514,mut515,mut516,mut517,mut518,mut519,mut520,mut522,mut523,mut524,mut525,mut526,mut527,mut528,mut529,mut530,mut531,mut532,mut533,mut534,mut535,mut537,mut538,mut539,mut542,mut543,mut544,mut545,mut546,mut547,mut549,mut552,mut553,mut554,mut555,mut557,mut558,mut559,mut560,mut561,mut564,mut566,mut567,mut568,mut569,mut571,mut572,mut575,mut576,mut577,mut578,mut579,mut580,mut581,mut582,mut583,mut588,mut589,mut590,mut591,mut594,mut595,mut597,mut598,mut599,mut600,mut601,mut603,mut604,mut605,mut606,mut607,mut608,mut609,mut610,mut611,mut612,mut613,mut615,mut616,mut617,mut618,mut619,mut620,mut621,mut622,mut625,mut626,mut627,mut628,mut629,mut630,mut631,mut632,mut633,mut635,mut636,mut637,mut638,mut640,mut642,mut643,mut644,mut645,mut646,mut647,mut648,mut649,mut650,mut652,mut653,mut655,mut656,mut657,mut658,mut659,mut660,mut661,mut662,mut663,mut664,mut665,mut666,mut667,mut668,mut669,mut670,mut671,mut672,mut673,mut674,mut675,mut676,mut677,mut678,mut679,mut680,mut681,mut682,mut683,mut685,mut686,mut687,mut688,mut689,mut690,mut691,mut692,mut693,mut694,mut695,mut697,mut698,mut701,mut702,mut703,mut704,mut705,mut706,mut707,mut708,mut709,mut710,mut711,mut713,mut714,mut715,mut716,mut717,mut718,mut719,mut720,mut721,mut722,mut723,mut726,mut727,mut729,mut730,mut731,mut734,mut735,mut736,mut737,mut738,mut739,mut740,mut741,mut742,mut743,mut744,mut745,mut746,mut748,mut749,mut750,mut751,mut752,mut753,mut754,mut757,mut758,mut760,mut761,mut762,mut763,mut764,mut765,mut766,mut767,mut768,mut769,mut770,mut772,mut774,mut775,mut776,mut777,mut779,mut780,mut781,mut782,mut783,mut784,mut785,mut786,mut787,mut790,mut791,mut792,mut793,mut794,mut795,mut796,mut797,mut798,mut799,mut800,mut801,mut803,mut804,mut806,mut807,mut808,mut809,mut810,mut811,mut813,mut814,mut816,mut818,mut819,mut820,mut821,mut822,mut823,mut824,mut825,mut826,mut827,mut828,mut829,mut830,mut831,mut832,mut833,mut834,mut835,mut837,mut838,mut839,mut840,mut841,mut842,mut843,mut845,mut846,mut847,mut848,mut849,mut850,mut851,mut852,mut853,mut856,mut857,mut858,mut859,mut861,mut863,mut864,mut865,mut866,mut867,mut869,mut870,mut871,mut872,mut873,mut874,mut875,mut876,mut877,mut878,mut879,mut880,mut882,mut883,mut884,mut885,mut886,mut887,mut889,mut890,mut891,mut892,mut893,mut894,mut895,mut896,mut897,mut898,mut899,mut900,mut901,mut902,mut903,mut904,mut907,mut908,mut909,mut910,mut911,mut912,mut914,mut915,mut917,mut918,mut919,mut920,mut921,mut922,mut923,mut924,mut927,mut928,mut929,mut930,mut931,mut932,mut934,mut936,mut937,mut938,mut939,mut940,mut942,mut943,mut944,mut945,mut946,mut948,mut951,mut952,mut955,mut956,mut957,mut958,mut959,mut960,mut961,mut962,mut966,mut967,mut968,mut970,mut973,mut974,mut977,mut978,mut979,mut982,mut983,mut984,mut985,mut986,mut987,mut988,mut989,mut990,mut991,mut992,mut993,mut994,mut996,mut997,mut998,mut1000,mut1001,mut1002,mut1004,mut1006,mut1007,mut1008,mut1009,mut1010,mut1011,mut1012,mut1013,mut1014,mut1015,mut1016,mut1018,mut1019,mut1020,mut1021,mut1022,mut1025,mut1026,mut1027,mut1029,mut1031,mut1032,mut1033,mut1034,mut1035,mut1036,mut1037,mut1039,mut1040,mut1041,mut1042,mut1043,mut1044,mut1045,mut1046,mut1047,mut1048,mut1049,mut1050,mut1052,mut1053,mut1054,mut1055,mut1056,mut1058,mut1059,mut1060,mut1061,mut1062,mut1063,mut1064,mut1065,mut1066,mut1067,mut1068,mut1069,mut1070,mut1071,mut1072,mut1073,mut1074,mut1075,mut1076,mut1077,mut1078,mut1079,mut1080,mut1081,mut1083,mut1084,mut1085,mut1086,mut1088,mut1089,mut1090,mut1091,mut1092,mut1094,mut1095,mut1097,mut1098,mut1099,mut1100,mut1101,mut1102,mut1103,mut1104,mut1106,mut1109,mut1110,mut1111,mut1113,mut1114,mut1115,mut1117,mut1118,mut1119,mut1121,mut1122,mut1123,mut1124,mut1125,mut1127,mut1128,mut1129,mut1130,mut1131,mut1132,mut1133,mut1134,mut1135,mut1136,mut1137,mut1139,mut1140,mut1141,mut1142,mut1143,mut1144,mut1146,mut1147,mut1148,mut1149,mut1150,mut1151,mut1152,mut1153,mut1154,mut1155,mut1156,mut1157,mut1158,mut1160,mut1163,mut1164,mut1165,mut1166,mut1167,mut1168,mut1169,mut1171,mut1173,mut1174,mut1175,mut1176,mut1177,mut1178,mut1180,mut1181,mut1182,mut1184,mut1185,mut1187,mut1188,mut1191,mut1192,mut1193,mut1194,mut1195,mut1196,mut1197,mut1198,mut1200,mut1201,mut1202,mut1203,mut1204,mut1205,mut1207,mut1208,mut1209,mut1211,mut1212,mut1213,mut1214,mut1215,mut1216,mut1217,mut1218,mut1219,mut1220,mut1221,mut1222,mut1224,mut1225,mut1226,mut1227,mut1228,mut1229,mut1230,mut1231,mut1232,mut1233,mut1235,mut1236,mut1237,mut1239,mut1240,mut1241,mut1242,mut1243,mut1244,mut1245,mut1246,mut1247,mut1248,mut1250,mut1251,mut1252,mut1255,mut1256,mut1257,mut1258,mut1261,mut1262,mut1263,mut1264,mut1265,mut1266,mut1268,mut1269,mut1270,mut1271,mut1274,mut1275,mut1276,mut1277,mut1278,mut1280,mut1281,mut1282,mut1283,mut1284,mut1286,mut1287,mut1288,mut1289,mut1290,mut1291,mut1292,mut1293,mut1294,mut1295,mut1296,mut1297,mut1298,mut1300,mut1301,mut1303,mut1306,mut1307,mut1308,mut1309,mut1310,mut1311,mut1313,mut1315,mut1316,mut1317,mut1318,mut1319,mut1320,mut1321,mut1323,mut1324,mut1325,mut1326,mut1327,mut1328,mut1330,mut1331,mut1332,mut1333,mut1334,mut1335,mut1337,mut1338,mut1339,mut1340,mut1341,mut1343,mut1345,mut1346,mut1347,mut1348,mut1349,mut1350,mut1351,mut1353,mut1354,mut1356,mut1357,mut1358,mut1359,mut1360,mut1362,mut1364,mut1365,mut1366,mut1367,mut1368,mut1370,mut1372,mut1374,mut1375,mut1376,mut1378,mut1379,mut1380,mut1381,mut1382,mut1383,mut1385,mut1386,mut1387,mut1388,mut1389,mut1390,mut1391,mut1392,mut1393,mut1394,mut1396,mut1397,mut1398,mut1399,mut1400,mut1401,mut1402,mut1403,mut1405,mut1406,mut1407,mut1408,mut1409,mut1411,mut1412,mut1413,mut1415,mut1416,mut1417,mut1418,mut1419,mut1420,mut1421,mut1422,mut1423,mut1424,mut1425,mut1426,mut1427,mut1428,mut1429,mut1430,mut1431,mut1432,mut1433,mut1434,mut1435,mut1436,mut1437,mut1438,mut1439,mut1441,mut1442,mut1443,mut1444,mut1445,mut1446,mut1447,mut1448,mut1450,mut1451,mut1452,mut1453,mut1454,mut1455,mut1456,mut1457,mut1458,mut1459,mut1460,mut1461,mut1463,mut1464,mut1465,mut1466,mut1469,mut1470,mut1471,mut1472,mut1474,mut1475,mut1476,mut1478,mut1479,mut1480,mut1481,mut1482,mut1483,mut1484,mut1485,mut1486,mut1487,mut1488,mut1489,mut1490,mut1491,mut1492,mut1493,mut1494,mut1495,mut1496,mut1497,mut1498,mut1499,mut1501,mut1502,mut1504,mut1506,mut1509,mut1510,mut1511,mut1512,mut1513,mut1515,mut1517,mut1518,mut1519,mut1520,mut1521,mut1523,mut1525,mut1526,mut1527,mut1528,mut1529,mut1530,mut1531,mut1532,mut1533,mut1534,mut1535,mut1536,mut1537,mut1538,mut1540,mut1542,mut1544,mut1545,mut1546,mut1547,mut1548,mut1549,mut1550,mut1552,mut1553,mut1555,mut1556,mut1557,mut1558,mut1560,mut1561,mut1562,mut1563,mut1564,mut1565,mut1566,mut1567,mut1568,mut1571,mut1572,mut1573,mut1575,mut1576,mut1577,mut1578,mut1579,mut1580,mut1581,mut1582,mut1583,mut1584,mut1585,mut1586,mut1587,mut1588,mut1589,mut1590,mut1591,mut1592,mut1594,mut1596,mut1597,mut1598,mut1601,mut1602,mut1603,mut1605,mut1606,mut1607,mut1608,mut1610,mut1611,mut1612,mut1614,mut1615,mut1616,mut1618,mut1620,mut1622,mut1623,mut1624,mut1625,mut1626,mut1627,mut1628,mut1630,mut1631,mut1632,mut1633,mut1634,mut1635,mut1636,mut1638,mut1639,mut1640,mut1641,mut1642,mut1643,mut1644,mut1645,mut1646,mut1648,mut1649,mut1650,mut1652,mut1653,mut1655,mut1656,mut1657,mut1658,mut1659,mut1660,mut1661,mut1663,mut1664,mut1665,mut1666,mut1667,mut1668,mut1670,mut1673,mut1674,mut1675,mut1676,mut1677,mut1678,mut1679,mut1680,mut1682,mut1683,mut1684,mut1685,mut1686,mut1687,mut1688,mut1689,mut1691,mut1694,mut1697,mut1698,mut1699,mut1700,mut1701,mut1702,mut1703,mut1705,mut1706,mut1707,mut1708,mut1709,mut1710,mut1712,mut1713,mut1714,mut1716,mut1717,mut1718,mut1719,mut1720,mut1721,mut1722,mut1723,mut1724,mut1725,mut1726,mut1727,mut1728,mut1729,mut1730,mut1731,mut1732,mut1733,mut1734,mut1735,mut1736,mut1737,mut1738,mut1741,mut1742,mut1743,mut1744,mut1746,mut1748,mut1749,mut1750,mut1751,mut1752,mut1753,mut1754,mut1756,mut1757,mut1758,mut1759,mut1760,mut1761,mut1762,mut1763,mut1764,mut1765,mut1766,mut1767,mut1768,mut1770,mut1772,mut1773,mut1775,mut1776,mut1777,mut1778,mut1780,mut1781,mut1783,mut1784,mut1785,mut1786,mut1788,mut1789,mut1790,mut1791,mut1792,mut1795,mut1796,mut1797,mut1798,mut1799,mut1801,mut1802,mut1803,mut1804,mut1806,mut1807,mut1808,mut1810,mut1813,mut1814,mut1815,mut1816,mut1817,mut1818,mut1819,mut1820,mut1821,mut1822,mut1823,mut1824,mut1825,mut1826,mut1827,mut1829,mut1830,mut1831,mut1832,mut1835,mut1836,mut1838,mut1839,mut1841,mut1842,mut1843,mut1844,mut1845,mut1846,mut1847,mut1848,mut1849,mut1850,mut1851,mut1852,mut1853,mut1854,mut1855,mut1858,mut1859,mut1860,mut1861,mut1862,mut1863,mut1864,mut1865,mut1867,mut1868,mut1869,mut1870,mut1871,mut1872,mut1873,mut1874,mut1875,mut1876,mut1878,mut1879,mut1880,mut1881,mut1886,mut1887,mut1888,mut1889,mut1890,mut1892,mut1893,mut1894,mut1895,mut1896,mut1898,mut1899,mut1900,mut1901,mut1902,mut1903,mut1904,mut1905,mut1906,mut1907,mut1909,mut1910,mut1911,mut1913,mut1915,mut1917,mut1918,mut1919,mut1920,mut1922,mut1923,mut1924,mut1925,mut1926,mut1928,mut1929,mut1930,mut1931,mut1933,mut1934,mut1936,mut1937,mut1938,mut1939,mut1940,mut1941,mut1943,mut1944,mut1945,mut1946,mut1947,mut1948,mut1950,mut1951,mut1952,mut1953,mut1954,mut1955,mut1956,mut1957,mut1960,mut1961,mut1962,mut1963,mut1965,mut1966,mut1968,mut1969,mut1970,mut1972,mut1973,mut1974,mut1976,mut1978,mut1979,mut1980,mut1981,mut1982,mut1983,mut1984,mut1985,mut1989,mut1990,mut1992,mut1993,mut1996,mut1997,mut1998,mut1999,mut2000,mut2002,mut2003,mut2004,mut2005,mut2006,mut2007,mut2009,mut2010,mut2011,mut2012,mut2013,mut2015,mut2016,mut2017,mut2020,mut2021,mut2024,mut2026,mut2027,mut2028,mut2029,mut2030,mut2032,mut2033,mut2034,mut2035,mut2036,mut2037,mut2038,mut2039,mut2040,mut2042,mut2043,mut2044,mut2045,mut2047,mut2048,mut2049,mut2050,mut2051,mut2052,mut2053,mut2054,mut2056,mut2057,mut2058,mut2059,mut2061,mut2062,mut2064,mut2065,mut2071,mut2072,mut2073,mut2074,mut2075,mut2078,mut2080,mut2082,mut2085,mut2087,mut2088,mut2089,mut2090,mut2091,mut2092,mut2096,mut2097,mut2098,mut2099,mut2102,mut2103,mut2104,mut2105,mut2106,mut2107,mut2109,mut2110,mut2111,mut2113,mut2115,mut2116,mut2117,mut2119,mut2120,mut2121,mut2122,mut2123,mut2125,mut2126,mut2128,mut2129,mut2130,mut2131,mut2133,mut2134,mut2139,mut2140,mut2142,mut2143,mut2145,mut2147,mut2148,mut2151,mut2152,mut2153,mut2154,mut2157,mut2158,mut2160,mut2161,mut2162,mut2163,mut2164,mut2165,mut2168,mut2169,mut2170,mut2171,mut2172,mut2173,mut2174,mut2176,mut2177,mut2178,mut2179,mut2181,mut2182,mut2183,mut2184,mut2186,mut2187,mut2188,mut2191,mut2194,mut2196,mut2197,mut2198,mut2199,mut2200,mut2202,mut2203,mut2206,mut2208,mut2209,mut2210,mut2211,mut2214,mut2217,mut2219,mut2220,mut2221,mut2222,mut2223,mut2224,mut2225,mut2227,mut2228,mut2229,mut2230,mut2231,mut2232,mut2235,mut2236,mut2237,mut2238,mut2239,mut2241,mut2242,mut2244,mut2246,mut2247,mut2248,mut2251,mut2252,mut2253,mut2255,mut2256,mut2257,mut2258,mut2260,mut2261,mut2262,mut2263,mut2264,mut2266,mut2267,mut2268,mut2269,mut2270,mut2273,mut2275,mut2276,mut2277,mut2278,mut2279,mut2280,mut2281,mut2282,mut2283,mut2284,mut2285,mut2286,mut2288,mut2290,mut2292,mut2293,mut2294,mut2296,mut2298,mut2299,mut2300,mut2302,mut2303,mut2305,mut2306,mut2308,mut2309,mut2310,mut2311,mut2314,mut2315,mut2316,mut2317,mut2319,mut2320,mut2321,mut2324,mut2325,mut2326,mut2328,mut2330,mut2331,mut2332,mut2333,mut2334,mut2335,mut2336,mut2337,mut2338,mut2341,mut2343,mut2344,mut2345,mut2346,mut2347,mut2349,mut2350,mut2351,mut2352,mut2354,mut2355,mut2356,mut2357,mut2358,mut2360,mut2361,mut2362,mut2363,mut2364,mut2366,mut2367,mut2368,mut2369,mut2371,mut2372,mut2373,mut2374,mut2375,mut2376,mut2377,mut2378,mut2379,mut2380,mut2381,mut2382,mut2383,mut2386,mut2387,mut2388,mut2389,mut2395,mut2397,mut2399,mut2400,mut2401,mut2402,mut2403,mut2404,mut2405,mut2406,mut2410,mut2411,mut2416,mut2417,mut2420,mut2422,mut2425
2	1	mut54,mut82,mut116,mut136,mut143,mut171,mut184,mut195,mut212,mut215,mut217,mut229,mut230,mut243,mut270,mut289,mut305,mut312,mut323,mut334,mut347,mut358,mut386,mut393,mut407,mut408,mut413,mut423,mut424,mut443,mut462,mut501,mut510,mut536,mut550,mut574,mut585,mut587,mut596,mut602,mut634,mut732,mut733,mut802,mut812,mut860,mut881,mut906,mut916,mut935,mut947,mut954,mut963,mut965,mut971,mut972,mut995,mut999,mut1005,mut1017,mut1023,mut1024,mut1028,mut1030,mut1051,mut1116,mut1145,mut1161,mut1172,mut1179,mut1183,mut1186,mut1234,mut1238,mut1253,mut1254,mut1259,mut1285,mut1299,mut1314,mut1329,mut1336,mut1342,mut1344,mut1355,mut1369,mut1371,mut1384,mut1395,mut1404,mut1410,mut1414,mut1462,mut1467,mut1505,mut1514,mut1516,mut1543,mut1551,mut1569,mut1574,mut1609,mut1629,mut1637,mut1681,mut1695,mut1745,mut1747,mut1771,mut1774,mut1787,mut1793,mut1809,mut1811,mut1837,mut1885,mut1897,mut1908,mut1932,mut1949,mut1977,mut2001,mut2014,mut2018,mut2019,mut2022,mut2023,mut2041,mut2060,mut2067,mut2068,mut2070,mut2081,mut2084,mut2118,mut2132,mut2135,mut2141,mut2144,mut2159,mut2201,mut2204,mut2215,mut2216,mut2234,mut2243,mut2287,mut2301,mut2307,mut2340,mut2353,mut2390,mut2414,mut2421
3	1	mut30,mut47,mut61,mut110,mut119,mut130,mut161,mut190,mut202,mut273,mut278,mut343,mut394,mut435,mut548,mut556,mut586,mut592,mut614,mut624,mut651,mut725,mut755,mut759,mut778,mut815,mut844,mut933,mut980,mut1003,mut1038,mut1057,mut1082,mut1093,mut1105,mut1108,mut1206,mut1312,mut1361,mut1363,mut1377,mut1477,mut1503,mut1508,mut1593,mut1613,mut1617,mut1619,mut1654,mut1662,mut1690,mut1704,mut1715,mut1812,mut1857,mut1914,mut1921,mut1959,mut1967,mut1991,mut1995,mut2008,mut2066,mut2086,mut2093,mut2095,mut2101,mut2108,mut2114,mut2149,mut2166,mut2190,mut2205,mut2207,mut2245,mut2265,mut2289,mut2312,mut2323,mut2384,mut2385,mut2392,mut2393,mut2398,mut2408,mut2415,mut2423
4	1	mut28,mut49,mut104,mut141,mut142,mut144,mut193,mut233,mut275,mut286,mut382,mut390,mut397,mut405,mut454,mut481,mut540,mut565,mut593,mut696,mut700,mut747,mut756,mut773,mut836,mut888,mut913,mut925,mut926,mut941,mut953,mut1170,mut1190,mut1249,mut1260,mut1273,mut1279,mut1322,mut1440,mut1449,mut1468,mut1473,mut1500,mut1524,mut1541,mut1554,mut1669,mut1672,mut1693,mut1696,mut1711,mut1755,mut1782,mut1805,mut1840,mut1856,mut1882,mut1883,mut1884,mut1942,mut1975,mut1988,mut2031,mut2077,mut2137,mut2138,mut2180,mut2185,mut2212,mut2226,mut2291,mut2313,mut2318,mut2322,mut2327,mut2339,mut2370,mut2407,mut2413,mut2424
5	ROOT	mut18,mut27,mut69,mut200,mut269,mut307,mut352,mut357,mut361,mut369,mut406,mut434,mut480,mut541,mut551,mut562,mut699,mut724,mut771,mut789,mut964,mut976,mut1138,mut1159,mut1199,mut1267,mut1272,mut1304,mut1305,mut1352,mut1373,mut1604,mut1692,mut1794,mut1800,mut1866,mut1964,mut1987,mut2025,mut2046,mut2063,mut2079,mut2150,mut2155,mut2189,mut2195,mut2249,mut2295,mut2297,mut2304,mut2342,mut2359,mut2394,mut2409
6	ROOT	mut4,mut114,mut120,mut299,mut418,mut448,mut467,mut490,mut500,mut563,mut570,mut584,mut639,mut641,mut684,mut805,mut817,mut855,mut862,mut905,mut949,mut969,mut1096,mut1107,mut1120,mut1223,mut1507,mut1621,mut1739,mut1769,mut1779,mut1833,mut1916,mut1935,mut1958,mut2055,mut2076,mut2083,mut2146,mut2167,mut2175,mut2193,mut2218,mut2250,mut2412,mut2418,mut2419
7	ROOT	mut25,mut58,mut179,mut268,mut303,mut350,mut422,mut466,mut521,mut654,mut712,mut728,mut854,mut975,mut1087,mut1126,mut1189,mut1210,mut1302,mut1539,mut1595,mut1647,mut1651,mut1671,mut1740,mut1828,mut1891,mut1912,mut1927,mut1986,mut2112,mut2156,mut2213,mut2233,mut2240,mut2254,mut2259,mut2348,mut2365,mut2396
8	ROOT	mut11,mut39,mut81,mut122,mut227,mut236,mut241,mut271,mut342,mut363,mut573,mut623,mut788,mut868,mut950,mut981,mut1112,mut1162,mut1522,mut1559,mut1570,mut1599,mut1600,mut1834,mut1877,mut1971,mut1994,mut2069,mut2094,mut2100,mut2124,mut2127,mut2136,mut2192,mut2271,mut2272,mut2274,mut2329,mut2391
