node_id	parent_id	labels
11	ROOT	mut4,mut7,mut9,mut13,mut14,mut15,mut22,mut23,mut25,mut31,mut34,mut35,mut38,mut51,mut53,mut56,mut61,mut64,mut65,mut70,mut76,mut77,mut78,mut81,mut83,mut85,mut87,mut90,mut91,mut93,mut101,mut102,mut107,mut108,mut110,mut112,mut114,mut116,mut121,mut122,mut123,mut125,mut127,mut129,mut131,mut156,mut160,mut163,mut169,mut184,mut185,mut186,mut197,mut205,mut220,mut221,mut224,mut227,mut230,mut237,mut239,mut240,mut242,mut245,mut246,mut248,mut251,mut260,mut267,mut273,mut278,mut281,mut286,mut288,mut294,mut295,mut310,mut312,mut313,mut314,mut315,mut316,mut320,mut325,mut328,mut331,mut332,mut336,mut341,mut344,mut347,mut359,mut360,mut365,mut370,mut372,mut374,mut376,mut380,mut385,mut386,mut388,mut390,mut391,mut392,mut393,mut396,mut397,mut400,mut403,mut407,mut417,mut418,mut419,mut424,mut428,mut429,mut430,mut433,mut437,mut438,mut446,mut448,mut449,mut451,mut453,mut455,mut458,mut459,mut482,mut483,mut491,mut495,mut496,mut497,mut503,mut512,mut530,mut531,mut533,mut535,mut539,mut542,mut546,mut551,mut552,mut553,mut563,mut564,mut567,mut568,mut569,mut571,mut581,mut582,mut591,mut593,mut595,mut597,mut601,mut604,mut605,mut612,mut621,mut628,mut631,mut632,mut634,mut637,mut647,mut648,mut655,mut661,mut664,mut666,mut668,mut682,mut697,mut706,mut708,mut716,mut718,mut719,mut730,mut733,mut734,mut735,mut738,mut745,mut746,mut750,mut752,mut756,mut758,mut761,mut767,mut768,mut776,mut781,mut784,mut787,mut795,mut798,mut801,mut812,mut814,mut815,mut820,mut822,mut828,mut832,mut835,mut836,mut838,mut841,mut842
1	11	mut1,mut8,mut11,mut12,mut17,mut20,mut21,mut37,mut41,mut45,mut47,mut48,mut54,mut55,mut57,mut58,mut60,mut62,mut71,mut74,mut75,mut84,mut86,mut88,mut96,mut98,mut106,mut111,mut130,mut132,mut133,mut141,mut146,mut150,mut153,mut155,mut159,mut161,mut166,mut168,mut170,mut171,mut173,mut174,mut180,mut183,mut189,mut191,mut194,mut209,mut214,mut215,mut217,mut222,mut225,mut228,mut231,mut233,mut238,mut247,mut256,mut257,mut258,mut259,mut265,mut270,mut271,mut275,mut280,mut282,mut290,mut291,mut292,mut304,mut306,mut309,mut317,mut318,mut323,mut326,mut329,mut333,mut334,mut337,mut343,mut345,mut350,mut352,mut361,mut363,mut366,mut371,mut375,mut377,mut387,mut389,mut399,mut401,mut402,mut408,mut413,mut414,mut415,mut416,mut425,mut427,mut436,mut439,mut442,mut443,mut447,mut456,mut460,mut462,mut463,mut464,mut466,mut470,mut471,mut472,mut477,mut480,mut481,mut484,mut487,mut489,mut490,mut492,mut498,mut499,mut501,mut508,mut510,mut511,mut517,mut518,mut519,mut523,mut532,mut536,mut537,mut543,mut545,mut549,mut550,mut554,mut566,mut588,mut596,mut598,mut607,mut615,mut620,mut623,mut625,mut644,mut645,mut651,mut658,mut660,mut662,mut663,mut670,mut673,mut677,mut678,mut687,mut695,mut698,mut700,mut703,mut705,mut707,mut711,mut712,mut713,mut720,mut721,mut722,mut723,mut731,mut741,mut742,mut748,mut753,mut757,mut762,mut764,mut765,mut766,mut777,mut778,mut783,mut792,mut796,mut800,mut811,mut816,mut817,mut823,mut824,mut825,mut846,mut848
6	1	mut3,mut26,mut49,mut50,mut69,mut72,mut73,mut79,mut99,mut118,mut124,mut135,mut138,mut196,mut208,mut213,mut216,mut261,mut263,mut264,mut289,mut307,mut395,mut405,mut454,mut513,mut514,mut565,mut617,mut624,mut629,mut635,mut684,mut688,mut717,mut782,mut786,mut797,mut802,mut803,mut809,mut810,mut821,mut830,mut833
18	11	mut104,mut162,mut165,mut241,mut353,mut476,mut485,mut641,mut681,mut701
15	18	mut19,mut134,mut201,mut210,mut250,mut283,mut505,mut590,mut699,mut805,mut826
19	18	mut30,mut136,mut179,mut212,mut409,mut656,mut780,mut847,mut849
4	11	mut5,mut10,mut36,mut52,mut59,mut117,mut119,mut140,mut143,mut145,mut147,mut149,mut154,mut178,mut187,mut190,mut192,mut195,mut198,mut199,mut202,mut206,mut229,mut235,mut236,mut249,mut253,mut266,mut272,mut274,mut296,mut300,mut302,mut303,mut321,mut330,mut355,mut362,mut364,mut368,mut369,mut378,mut381,mut398,mut423,mut465,mut502,mut527,mut528,mut559,mut574,mut580,mut584,mut587,mut592,mut599,mut600,mut602,mut610,mut611,mut618,mut626,mut649,mut657,mut674,mut683,mut690,mut710,mut726,mut727,mut744,mut747,mut749,mut751,mut754,mut759,mut770,mut772,mut779,mut788,mut790,mut791,mut813,mut827,mut831
31	15	mut120,mut435,mut639,mut755,mut829
9	31	mut142,mut167,mut276,mut279,mut285,mut311,mut324,mut338,mut394,mut404,mut420,mut468,mut486,mut652,mut667,mut680,mut694,mut769
20	18	mut139,mut157,mut339,mut356,mut529,mut561,mut573,mut643,mut685
25	19	mut0,mut152,mut234,mut319,mut506,mut524,mut672
