node_id	parent_id	labels
1	ROOT	mut1,mut3,mut4,mut5,mut8,mut16,mut19,mut22,mut25,mut26,mut31,mut32,mut34,mut35,mut36,mut38,mut39,mut40,mut43,mut46,mut49,mut53,mut58,mut59,mut60,mut62,mut63,mut72,mut75,mut82,mut86,mut91,mut95,mut100,mut101,mut103,mut104,mut110,mut117,mut128,mut130,mut132,mut135,mut137,mut138,mut140,mut141,mut143,mut152,mut154,mut158,mut160,mut161,mut163,mut174,mut178,mut179,mut180,mut184,mut185,mut189,mut190,mut193,mut195,mut198,mut199,mut200,mut203,mut206,mut217,mut220,mut221,mut223,mut227,mut234,mut235,mut236,mut241,mut247,mut251,mut252,mut253,mut254,mut261,mut262,mut266,mut268,mut275,mut278,mut280,mut281,mut292,mut302,mut303,mut307,mut308,mut309,mut314,mut315,mut317,mut321,mut322,mut324,mut329,mut334,mut336,mut337,mut338,mut342,mut343,mut348,mut355,mut357,mut359,mut360,mut362,mut363,mut364,mut366,mut368,mut376,mut379,mut381,mut387,mut392,mut412,mut422,mut423,mut426,mut427,mut431,mut432,mut436,mut438,mut441,mut445,mut446,mut449,mut450,mut451,mut456,mut459,mut468,mut469,mut473,mut480,mut483,mut487,mut489,mut497,mut500,mut511,mut514,mut519,mut521,mut528,mut531,mut532,mut534,mut536,mut543,mut546,mut549,mut555,mut557,mut559,mut575,mut576,mut577,mut579,mut581,mut582,mut584,mut585,mut587,mut590,mut592,mut595,mut597,mut601,mut605,mut613,mut614,mut618,mut619,mut622,mut632,mut636,mut640,mut641,mut643,mut644,mut645,mut646,mut655,mut661,mut664,mut667,mut673,mut674,mut676,mut686,mut688,mut696,mut707,mut709,mut721,mut722,mut726,mut728,mut731,mut737,mut738,mut752,mut755,mut763,mut765,mut766,mut767,mut771,mut788,mut801,mut803,mut810,mut819,mut822,mut823,mut826,mut832,mut833,mut837,mut838
8	1	mut55,mut83,mut89,mut142,mut146,mut167,mut187,mut191,mut215,mut270,mut323,mut351,mut370,mut415,mut484,mut551,mut564,mut580,mut609,mut695,mut734,mut748,mut795,mut797,mut824,mut831
3	1	mut12,mut30,mut50,mut69,mut80,mut85,mut93,mut118,mut122,mut147,mut157,mut165,mut181,mut196,mut197,mut205,mut208,mut209,mut219,mut231,mut232,mut243,mut256,mut288,mut310,mut320,mut325,mut347,mut365,mut367,mut375,mut383,mut395,mut396,mut407,mut413,mut418,mut429,mut434,mut442,mut444,mut455,mut457,mut460,mut464,mut488,mut494,mut496,mut504,mut505,mut513,mut550,mut588,mut603,mut615,mut623,mut630,mut633,mut637,mut647,mut656,mut659,mut678,mut689,mut691,mut699,mut703,mut708,mut714,mut729,mut730,mut739,mut745,mut750,mut759,mut773,mut776,mut791,mut792,mut796,mut802,mut806,mut816,mut825,mut834,mut840
13	1	mut9,mut230,mut245,mut331,mut332,mut349,mut350,mut358,mut369,mut380,mut467,mut486,mut520,mut548,mut591,mut611,mut669,mut677
15	1	mut27,mut33,mut42,mut151,mut164,mut218,mut233,mut295,mut301,mut305,mut452,mut627,mut732,mut733
2	15	mut17,mut51,mut71,mut73,mut88,mut102,mut108,mut112,mut115,mut116,mut124,mut139,mut149,mut155,mut168,mut177,mut182,mut188,mut222,mut226,mut255,mut258,mut264,mut269,mut283,mut286,mut287,mut290,mut297,mut312,mut318,mut326,mut333,mut335,mut341,mut344,mut377,mut390,mut393,mut398,mut400,mut405,mut408,mut419,mut437,mut439,mut448,mut454,mut461,mut466,mut474,mut475,mut485,mut499,mut509,mut515,mut517,mut518,mut525,mut527,mut535,mut538,mut547,mut556,mut561,mut570,mut571,mut574,mut583,mut593,mut598,mut606,mut608,mut626,mut629,mut652,mut660,mut662,mut665,mut671,mut675,mut683,mut684,mut692,mut693,mut694,mut700,mut713,mut717,mut736,mut741,mut756,mut758,mut761,mut762,mut764,mut774,mut778,mut779,mut781,mut784,mut787,mut790,mut807,mut811,mut817,mut821,mut828,mut836
20	1	mut0,mut76,mut346,mut374,mut384,mut537,mut610,mut617
5	8	mut6,mut68,mut74,mut92,mut97,mut106,mut111,mut113,mut150,mut176,mut202,mut213,mut240,mut244,mut246,mut248,mut299,mut304,mut306,mut311,mut394,mut402,mut420,mut465,mut470,mut491,mut516,mut567,mut572,mut586,mut600,mut612,mut625,mut638,mut639,mut654,mut663,mut681,mut710,mut719,mut742,mut793,mut808,mut809,mut812,mut813,mut815
16	13	mut56,mut79,mut90,mut148,mut265,mut345,mut406,mut433,mut512,mut573,mut594,mut607,mut651,mut698
17	20	mut15,mut65,mut133,mut159,mut194,mut237,mut239,mut352,mut560,mut658,mut682,mut783,mut785
