node_id	parent_id	mutations
ROOT	ROOT	
1	ROOT	mut0,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut12,mut14,mut15,mut17,mut18,mut19,mut20,mut22,mut23,mut24,mut25,mut26,mut27,mut29,mut30,mut31,mut32,mut34,mut35,mut36,mut38,mut40,mut41,mut42,mut43,mut46,mut48,mut49,mut51,mut53,mut55,mut56,mut57,mut59,mut61,mut62,mut63,mut66,mut69,mut70,mut71,mut72,mut73,mut74,mut75,mut76,mut78,mut79,mut81,mut82,mut83,mut84,mut85,mut86,mut87,mut88,mut89,mut90,mut91,mut94,mut95,mut96,mut97,mut98,mut99,mut100,mut101,mut102,mut103,mut104,mut108,mut111,mut112,mut113,mut114,mut116,mut117,mut118,mut119,mut121,mut122,mut124,mut125,mut126,mut127,mut128,mut131,mut134,mut135,mut136,mut137,mut139,mut140,mut141,mut142,mut144,mut146,mut148,mut149,mut150,mut151,mut152,mut153,mut155,mut156,mut158,mut159,mut160,mut161,mut164,mut165,mut166,mut168,mut170,mut173,mut174,mut175,mut179,mut180,mut181,mut182,mut184,mut185,mut186,mut187,mut189,mut190,mut191,mut194,mut195,mut196,mut197,mut198,mut199,mut200,mut201,mut202,mut204,mut208,mut209,mut211,mut212,mut214,mut215,mut217,mut219,mut220,mut221,mut222,mut223,mut225,mut228,mut229,mut231,mut233,mut235,mut236,mut237,mut238,mut239,mut240,mut241,mut242,mut243,mut244,mut245,mut246,mut247,mut248,mut249,mut251,mut252,mut253,mut254,mut255,mut256,mut258,mut261,mut262,mut264,mut265,mut266,mut267,mut268,mut270,mut271,mut272,mut273,mut274,mut276,mut278,mut279,mut280,mut283,mut284,mut285,mut288,mut289,mut290,mut292,mut293,mut294,mut295,mut296,mut297,mut298,mut299,mut300,mut301,mut302,mut305,mut306,mut307,mut308,mut310,mut312,mut314,mut315,mut318,mut319,mut320,mut324,mut326,mut330,mut332,mut333,mut335,mut336,mut337,mut338,mut339,mut341,mut342,mut343,mut345,mut346,mut347,mut348,mut349,mut351,mut352,mut353,mut354,mut355,mut358,mut359,mut361,mut363,mut364,mut365,mut366,mut367,mut368,mut369,mut370,mut371,mut372,mut373,mut374,mut375,mut377,mut378,mut384,mut386,mut387,mut388,mut390,mut391,mut392,mut393,mut394,mut396,mut397,mut398,mut399,mut402,mut403,mut405,mut406,mut407,mut410,mut414,mut415,mut416,mut418,mut419,mut420,mut421,mut422,mut423,mut424,mut425,mut427,mut430,mut431,mut432,mut434,mut435,mut436,mut437,mut438,mut439,mut440,mut441,mut442,mut445,mut446,mut447,mut449,mut450,mut451,mut453,mut455,mut456,mut458,mut459,mut460,mut461,mut462,mut463,mut468,mut469,mut471,mut472,mut473,mut474,mut475,mut477,mut478,mut480,mut481,mut482,mut483,mut484,mut485,mut486,mut487,mut488,mut489,mut491,mut492,mut493,mut494,mut495,mut497,mut498,mut501,mut503,mut505,mut506,mut509,mut511,mut513,mut514,mut515,mut516,mut517,mut521,mut523,mut524,mut525,mut526,mut529,mut530,mut534,mut535,mut536,mut537,mut538,mut539,mut541,mut542,mut543,mut544,mut545,mut546,mut547,mut548,mut549,mut551,mut552,mut553,mut554,mut556,mut557,mut558,mut559,mut561,mut562,mut564,mut566,mut567,mut570,mut572,mut573,mut574,mut575,mut577,mut579,mut580,mut581,mut582,mut584,mut585,mut586,mut590,mut592,mut593,mut594,mut595,mut596,mut597,mut600,mut601,mut603,mut606,mut607,mut608,mut611,mut612,mut614,mut616,mut618,mut620,mut621,mut622,mut623,mut624,mut625,mut626,mut628,mut633,mut637,mut639,mut642,mut643,mut644,mut645,mut650,mut651,mut653,mut654,mut658,mut660,mut661,mut662,mut666,mut667,mut668,mut670,mut671,mut672,mut673,mut674,mut675,mut676,mut677,mut678,mut679,mut681,mut683,mut685,mut688,mut689,mut690,mut691,mut692,mut694,mut695,mut696,mut697,mut698,mut700,mut701,mut702,mut706,mut707,mut708,mut710,mut711,mut712,mut713,mut714,mut715,mut716,mut717,mut718,mut719,mut720,mut722,mut723,mut724,mut725,mut726,mut730,mut732,mut733,mut734,mut737,mut738,mut739,mut744,mut748,mut749,mut750,mut752,mut753,mut754,mut755,mut756
2	ROOT	mut13,mut16,mut28,mut39,mut44,mut47,mut65,mut80,mut93,mut106,mut110,mut163,mut177,mut224,mut232,mut269,mut277,mut281,mut282,mut316,mut321,mut323,mut327,mut334,mut340,mut344,mut360,mut362,mut381,mut383,mut385,mut389,mut395,mut400,mut404,mut411,mut413,mut417,mut429,mut454,mut464,mut467,mut496,mut499,mut504,mut519,mut527,mut528,mut532,mut563,mut565,mut569,mut587,mut588,mut605,mut632,mut640,mut656,mut693,mut709,mut728,mut731,mut735,mut736,mut741,mut743,mut746,mut751
4	1	mut52,mut67,mut92,mut105,mut133,mut147,mut167,mut178,mut192,mut260,mut322,mut356,mut380,mut382,mut401,mut448,mut540,mut568,mut571,mut578,mut591,mut617,mut630,mut635,mut636,mut638,mut652,mut663,mut665,mut669,mut684,mut705,mut727,mut729
5	ROOT	mut33,mut54,mut58,mut77,mut154,mut162,mut287,mut329,mut376,mut433,mut500,mut508,mut520,mut550,mut555,mut583,mut598,mut615,mut631,mut641,mut655,mut682,mut704,mut742
6	1	mut50,mut68,mut109,mut123,mut132,mut138,mut203,mut230,mut263,mut291,mut325,mut408,mut426,mut452,mut466,mut560,mut576,mut627,mut629
7	ROOT	mut60,mut143,mut183,mut188,mut205,mut206,mut309,mut317,mut350,mut465,mut470,mut507,mut589,mut703,mut740
10	2	mut45,mut64,mut120,mut213,mut250,mut304,mut409,mut444,mut479,mut510,mut604
11	ROOT	mut275,mut328,mut457,mut476,mut502,mut512,mut602,mut634,mut657,mut747
13	1	mut172,mut193,mut257,mut313,mut331,mut379,mut613,mut619,mut686
