node_id	parent_id	labels
1	ROOT	mut1,mut8,mut10,mut12,mut14,mut15,mut17,mut20,mut22,mut24,mut26,mut27,mut28,mut29,mut31,mut32,mut33,mut35,mut36,mut37,mut38,mut41,mut45,mut47,mut49,mut50,mut54,mut56,mut58,mut60,mut64,mut67,mut68,mut71,mut73,mut74,mut75,mut77,mut79,mut81,mut83,mut84,mut87,mut89,mut93,mut94,mut99,mut102,mut103,mut109,mut113,mut114,mut115,mut116,mut117,mut118,mut120,mut122,mut123,mut127,mut130,mut131,mut132,mut133,mut135,mut140,mut141,mut142,mut144,mut149,mut152,mut155,mut156,mut157,mut159,mut160,mut162,mut163,mut164,mut165,mut167,mut168,mut174,mut176,mut179,mut181,mut182,mut183,mut184,mut186,mut190,mut191,mut192,mut194,mut195,mut199,mut203,mut208,mut210,mut211,mut214,mut216,mut217,mut218,mut219,mut226,mut229,mut230,mut232,mut234,mut236,mut237,mut243,mut244,mut247,mut249,mut253,mut256,mut257,mut259,mut263,mut266,mut267,mut268,mut272,mut277,mut281,mut282,mut285,mut288,mut289,mut291,mut292,mut293,mut294,mut295,mut296,mut297,mut299,mut301,mut302,mut303,mut307,mut314,mut316,mut318,mut319,mut325,mut326,mut327,mut328,mut329,mut330,mut332,mut333,mut334,mut335,mut337,mut339,mut343,mut344,mut350,mut353,mut356,mut357,mut358,mut361,mut364,mut365,mut366,mut369,mut374,mut376,mut378,mut382,mut383,mut384,mut386,mut387,mut393,mut394,mut397,mut401,mut402,mut403,mut404,mut405,mut406,mut407,mut408,mut410,mut413,mut414,mut415,mut417,mut418,mut419,mut422,mut425,mut429,mut431,mut432,mut435,mut436,mut438,mut442,mut443,mut444,mut448,mut449,mut450,mut451,mut454,mut456,mut458,mut459,mut460,mut462,mut465,mut468,mut469,mut472,mut473,mut474,mut475,mut478,mut480,mut481,mut482,mut483,mut484,mut485,mut492,mut493,mut498,mut501,mut503,mut504,mut513,mut514,mut520,mut523,mut524,mut526,mut527,mut528,mut529,mut531,mut532,mut533,mut534,mut535,mut537,mut539,mut543,mut546,mut547,mut548,mut549,mut550,mut552,mut553,mut554,mut555,mut558,mut561,mut562,mut563,mut564,mut565,mut566,mut567,mut572,mut582,mut584,mut585,mut587,mut589,mut590,mut592,mut594,mut598,mut602,mut605,mut606,mut607,mut609,mut610,mut611,mut612,mut614,mut615,mut617,mut618,mut619,mut620,mut621,mut622,mut626,mut630,mut632,mut633,mut640,mut642,mut643,mut647,mut648,mut649,mut650,mut652,mut653,mut655,mut658,mut660,mut663,mut665,mut667,mut670,mut671,mut674,mut675,mut677,mut678,mut679,mut680,mut683,mut685,mut687,mut688,mut689,mut690,mut691,mut693,mut694,mut695,mut696,mut697,mut699,mut702,mut703,mut704,mut705,mut706,mut708,mut710,mut714,mut716,mut720,mut723,mut724,mut725,mut728,mut733,mut739,mut744,mut745,mut748,mut749,mut753,mut754,mut756,mut758,mut761,mut762,mut763,mut764,mut766,mut767,mut768,mut769,mut771,mut772,mut773,mut780,mut784,mut787,mut791,mut799,mut803,mut805,mut807,mut808,mut809,mut810,mut811,mut812,mut817,mut820,mut825,mut826,mut828,mut829,mut830,mut831,mut834,mut835,mut836,mut840,mut845,mut854,mut855,mut857,mut859,mut861,mut862,mut866,mut868,mut871,mut874,mut875
10	1	mut30,mut80,mut86,mut110,mut136,mut143,mut212,mut227,mut270,mut310,mut573,mut588,mut597,mut662,mut731,mut741,mut821,mut838,mut864
17	10	mut354,mut368,mut411,mut433,mut488,mut639,mut746,mut752,mut832,mut843,mut846,mut850,mut882
20	1	mut95,mut251,mut304,mut349,mut359,mut370,mut391,mut416,mut441,mut574,mut577
12	20	mut11,mut44,mut252,mut284,mut341,mut372,mut377,mut466,mut525,mut551,mut591,mut654,mut782,mut792,mut865
25	12	mut7,mut55,mut65,mut124,mut280,mut790,mut793,mut841,mut847,mut858
16	25	mut57,mut85,mut169,mut315,mut331,mut380,mut463,mut664,mut672,mut692,mut712,mut819,mut837
23	1	mut9,mut52,mut59,mut171,mut200,mut242,mut496,mut627,mut775,mut852
30	1	mut245,mut312,mut538,mut544,mut579,mut583,mut715,mut877
3	1	mut16,mut43,mut63,mut88,mut90,mut105,mut128,mut137,mut138,mut153,mut161,mut177,mut196,mut197,mut201,mut202,mut206,mut231,mut233,mut246,mut250,mut254,mut261,mut264,mut275,mut276,mut311,mut340,mut352,mut392,mut409,mut421,mut437,mut446,mut447,mut453,mut470,mut497,mut516,mut522,mut557,mut560,mut604,mut613,mut616,mut673,mut684,mut686,mut722,mut729,mut730,mut732,mut738,mut742,mut751,mut760,mut786,mut788,mut798,mut814,mut822,mut848,mut876,mut879,mut883
13	17	mut39,mut62,mut92,mut145,mut222,mut279,mut308,mut309,mut342,mut389,mut430,mut477,mut727,mut743,mut801
18	1	mut3,mut23,mut241,mut265,mut426,mut439,mut575,mut586,mut750,mut755,mut794,mut867
31	1	mut101,mut151,mut286,mut306,mut521,mut636,mut734,mut815
